"","volume","surface_area","mean_depth","res_time","tp_in_conc","tp_out_conc","Rp","tn_in_conc","tn_out_conc","Rn","RnRpdiff"
"1",1.737504,141.42,18.92,2.9,0.407882481687484,0.21310189,0.82,4.94249890288503,2.9452,0.62,0.2655785909
"2",0.0846,12.75,5.9,0.3885,0.100904401703488,0.045,0.39,1.59458551304845,0.8904,0.21,-0.16
"3",0.00189,0.7,1.8,0.025,0.0217649955134846,0.011,-0.0527,0.685318630559784,0.32,-0.12,-0.5295
"4",0.08415,12.7,5.9,0.407,0.100998089725259,0.045,0.39,1.5966671515697,0.8904,0.23,-0.16
"5",0.083615,12.7,5.9,0.405,0.101135418748623,0.0459178,0.395,1.59968505595283,0.89218682364879,0.23,-0.15
"6",0.088565,13.35,6,0.501,0.116096310099382,0.04638235,0.45,1.79833462542573,0.9157,0.29,-0.12
"7",0.08415,11.4,6.4,0.436,0.0909902137361848,0.042,0.42,1.57835263638675,0.8895,0.21,-0.16
"8",0.083615,11.45,6.4,0.436,0.0919542785981142,0.042,0.426,1.58672221058138,0.889,0.22,-0.17
"9",0.09163,12.7,6.7,0.4865,0.0959346355487908,0.04,0.47,1.6106631336194,0.88,0.24,-0.208840781
