,,,,,,,,,km2,km2,,%,%,%,%,yr,,ug/L,,,m,,ug L-1,mg/L,g C m2 yr,%,load,,retention,g/m2/yr,,,,,,,,,g/m2/yr,,,,%,,,,,,,,,,,,,,,,,,
Oliver_notes,status,Site,Primary_reference,Type,Location,latitude,longitude,Sub_location,Watershed_area,Lake_area,period,propNO3retention,propNH4retention,propDINretention,propTONretention,restime_y,logR,TP_ugL,LogTP,Status,zbar_m,h_myr1,Chla_ugL,DOC_mgL,Pprates_gCm2yr,PercTN_retention,Nload_gm2y,logNload,Nretention_gm2y,denitrifcation,p_mass_units,p_conc_units,tp_in_mass,tp_in_conc,tp_out_mass,tp_out_conc,PercP_retention,RpminusRn,inorganicload,organicload,inorganicremoval,organicremoval,PercOrganicLoad,PercInorganicLoad,Notes,,,,,,,,,,,,,,,,
,1,Ovre  Lundetjenn,Kaste 2005 CJFAS,lake,Norway,58.36667,8.45,,1.96,0.044,1999-2001,0.09,-0.13,0.06,-0.13,0.11,-0.958607315,5.27,0.72,O,7,1.38,,5.5,,0.004,37.87,1.578295305,0.15148,,mmol m2 y,,8.75,,10.15,,-0.16,-0.164,26.77,11.09591,1.6064454,-1.4424683,0.29,0.71,,,,,,,,,,,,,,,,,
,1,Ovre  Lundetjenn (pretreat),Kaste 2005 CJFAS,lake,Norway,58.36667,8.45,,1.96,0.044,1998,0.1,-0.18,0.07,,0.11,-0.958607315,4.34,0.64,O,7,63.63636364,,5.5,,,,,,,mmol m2 y,,4.75,,7.55,,-0.59,,,,,,,,,,,,,,,,,,,,,,,,
,3,Peipsi,Noges 2003,,Estonia,,,,44245,3555,1998,0.71,0.68,0.704477612,-0.2,1.7,0.230448921,43.00,1.63,E,7.1,4.176470588,19,,,0.41,6.7,0.826074803,2.77,,,,,,,,0.47,0.06,3.35,3.34,2.36,0.08,0.498507463,0.5,,,,,,,,,,,,,,,,,
,0,Plastic,Molot and Dillon 1993,,Canada,,,,0.96,0.32,1977 to 1989,0.801996672,0.807894737,0.804281346,0.38,3.891625616,0.590131053,4.70,0.67,O,7.9,2.03,,2.17,,0.65,1.54,0.187520721,1.001,,,,,,,,,,0.98,0.563,0.785782875,0.21394,0.37,0.63,,,,,,,,,,,,,,,,,
,1,PT1,Devito et al. 1989,beaver pond,Canada,45.2167,-78.9167,Ontario,0.017,0.008,,0.45,-0.85,0.16,-0.4,0.125490196,-0.901390202,,,,3.2,25.5,,,,-0.14,3.5,0.544068044,-0.44,,g m2 y,,0.066,,0.095,,-0.44,-0.3,1.7,1.8,0.27,-0.72,0.514285714,0.485714286,,,,,,,,,,,,,,,,,
,1,Pyhajarvi (at Artjarvi),"Knuuttila et al. 1992, cited in Ekholm 1997",lake,Finland,63.571689,25.931732,,,12.9,1980?,,,,,2,0.301029996,,,,21,10.5,,,,0.25,,,,,,,,,,,0.36,0.11,,,,,,,"Knuuttila, S., K. Kallio & S. Salo. 1992. Ravinnetaseet ja",,,,,,,,,,,,,,,,
,0,Rawson (239),Schindler et al. 1976; Dillon and Mollot 1990,,Canada,,,,3.96,0.54,1970 to 1973,0.73,0.89,0.82,,5.5,0.740362689,5.00,0.70,O,10.4,1.890909091,,,,0.6,1.268518519,0.103296812,0.761111111,,,,,,,,0.65,0.05,,,,,,,,,,,,,,,,,,,,,,,
,0,red chalk,Molot and Dillon 1993,,Canada,,,,5.32,0.57,1977 to 1989,0.410460993,0.74512987,0.528669725,0.26,2.508833922,0.399471913,4.80,0.68,O,14.2,5.66,,2.57,,0.4,3.18,0.50242712,1.272,,,,,,,,,,1.74,1.44,0.919885321,0.3744,0.45,0.55,,,,,,,,,,,,,,,,,
,1,Sobygard,Jensen et al 1992,lake,Denmark,56.25598,9.81009,,11.6,0.4,1978-1987,0.45,,,,0.060273973,-1.219870184,500.00,2.70,E,1,16.59090909,,,,0.55,152.20,2.182414652,83.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Sobygard,Jeppesen et al. 1998,,Denmark,,,,11,0.4,1988-1995,,,,,0.046575342,-1.331843943,760.00,2.88,E,1,21.47058824,,,,0.32,85.78,1.933360727,27.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Stjarnarp,Fleischer et al. 1994,Reservior,Sweden,56.668076,12.762601,,9.32,0.028,,,,,,,,,,E,,,,,,0.095,766.5,2.884512159,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Talquin,Turner et al.,Reservior,US,,,N. Florida,4455,39.25,1971-1973,0.55,0.27,0.48,-0.036,0.088235294,-1.054357662,70.00,1.85,E,4.1,46.46666667,,,303,0.1,53.57,1.728894622,5.356666667,,,,,,,,0.44,,,,,,,,"Reservior, ave. of 3 yrs",,,,,,,,,,,,,,,,
,1,Tarawera,Hamilton 2006,lake,New Zealand,-38.19895,176.422758,,143,41.2,,,,,,9.96,0.998259338,7.60,0.88,O,50,5.020080321,2.5,1.5,,0.249014085,0.875436893,-0.057775155,0.217996117,,T y,,3.56,,1.73,,0.86,,0.64,0.236367961,,,0.27,0.73,,,,,,,,,,,,,,,,,
,1,Tjarby 1,Fleischer et al. 1994,lake,Sweden,56.527051,13.056728,,,0.0033,,,,,,0.04109589,-1.386201605,,,E,2.1,51.1,,,,0.029,1025.65,3.010999184,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Tjarby 2,Fleischer et al. 1994,lake,Sweden,56.527051,13.056728,,,0.009,,,,,,0.005479452,-2.261262869,,,E,1.5,273.75,,,,-0.011,12347.95,4.091594862,-138.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Toolik,Whalen and Cornwall 1985,lake,United States,68.63333,-149.6333,Alaska,65,1.5,1980,,,0.47,0.17,0.5,-0.301029996,3.41,0.53,O,7,14,1.3,6.9,10,0.18,4.06,0.608526034,0.7308,,mmol m2 y,,4.64,,3.35,,0.3,0.12,0.0924462,3.963981,0.0434217,0.6807402,0.98,0.02,,,,,,,,,,,,,,,,,
"no p input data in Kvarnase, cannot find Olsson",1,Vanern,"Kvarnas 2001, Olsson 1991",lake,Sweden,59.005879,13.525512,,46830,5648,1970-1989,,,,,9.8,0.991226076,7.00,0.85,O,27,2.755102041,2.5,,,0.32,,,,,,,,,,,0.7,0.38,,,,,,,,,,,,,,,,,,,,,,,
recalculated budgets (did not report numbers from table 6) - retention calculated as in-out/in,1,Wingra,Likens and Loucks 1978,lake,United States,43.05,-89.4167,Wisconsin,1.3,0.114,1970-1974,,,,,0.48,-0.318758763,36.00,1.56,E,2.4,5,,,500,0.82,23.59,1.372727941,19.12,,g m2 y,,0.96,,0.12,,0.88,0.33,,,,,,,"N fixation 2.7g.m2, 11% of inputs",,,,,,,,,,,,,,,,
,0,Zug,Mengis 1997,,Switzerland,,,,246,38.3,1995,,,,,14.1,1.149219113,158.10,2.20,E,84,5.957446809,,2.2,,0.873,8.69,0.938869822,7.583751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Mjolkvattnet,Rydin et al.,,,,,,246,13.6,3yrs,,,,,1.2,0.079181246,4.50,,O,31,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,Rzeszow ,?,Reservior,Poland,,,,2050,1.18,,,,,,0.005479452,-2.261262869,,,,0.5,91.25,,,,0.22,1299.4,,302.95,,,,,,,,,,,,,,,,http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.baztech-article-BPW1-0015-0075?q=bwmeta1.element.baztech-volume-0324-8828-environment_protection_engineering-2002-vol__28_nr_1;11&qt=CHILDREN-STATELESS,,,,,,,,,,,,,,,,
,3,Solina,?,Reservior,Poland,,,,1175,22,,,,,,0.589041096,-0.229854405,,,M,22,37.34883721,,,,0.35,124.1,,47.45,,,,,,,,,,,,,,,,http://scholar.google.com/citations?user=qUds2nsAAAAJ&hl=pl,,,,,,,,,,,,,,,,
,0,Elmdale,Grantz 2014,Reservior,,,,,19.3,0.5,,,,,,0.457534247,-0.339576393,40.00,,E,3,6.556886228,24,,,0.57957958,33.3,,19,,,,,,,,0.828125,0.24854542,,,,,,,includes N fix,,,,,,,,,,,,,,,,
,0,Fayetteville,Grantz 2014,Reservior,,,,,24,0.604,,,,,,0.449315068,-0.347449016,63.00,,E,3,6.676829268,38,,,0.512195122,41,,21,,,,,,,,0.901408451,0.389213329,,,,,,,,,,,,,,,,,,,,,,,
,0,Wedington,Grantz 2014,Reservior,,,,,10.3,0.337,,,,,,0.553424658,-0.256941495,32.00,,M,3,5.420792079,11,,,0.87037037,27,,23,,,,,,,,0.817204301,-0.053166069,,,,,,,,,,,,,,,,,,,,,,,
enter on own data sheet,3,Williams,LaBaugh 1995,Seepage lake,MN,,,,2.3,0.2,1980-1991,,,,,3,0.477121255,,,O,9.8,,,,,0.755102041,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,
lake in database from Patoine et al 2006,0,Pasqua,Leavitt et al. 2006,,Canada,,,,,,,,,,,0.7,-0.15490196,200.00,,E,6,8.571428571,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lake in database from Patoine et al 2006,0,Echo,Leavitt et al. 2006,,Canada,,,,,,,,,,,0.7,-0.15490196,,,E,9.8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lake in database from Patoine et al 2006,0,Mission,Leavitt et al. 2006,,Canada,,,,,,,,,,,0.4,-0.397940009,,,E,8.2,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lake in database from Patoine et al 2006,0,Katepwa,Leavitt et al. 2006,,Canada,,,,,,,,,,,1.3,0.113943352,215.00,,E,14.4,11.07692308,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Wivenhoe ,Burford 2011,,Australia,,,,,109,,,,,,,,,,E,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Gull,Bruesewitz et al. 2012,,United States,,,,,8.2,synthesis,,,0.850649351,,4.3,0.633468456,9.00,0.95,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Bickford Pond,Hemond 1984,,United States,,,MA,16.6,0.65,2,0.153174603,0.457330416,0.234302326,,0.25,-0.602059991,7.00,0.85,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Marne,Garnier et al.,,France,,,,,48,3yrs,0.514884234,-0.9,0.504290841,,0.456666667,-0.340400688,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Aube,Garnier et al.,,France,,,,,21,2yrs,0.55,,0.54,,0.62,-0.207608311,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Seine,Garnier et al.,,France,,,,,23,2yrs,0.26,,0.25,,0.37,-0.431798276,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Champaubert,Garnier et al.,,France,,,,,,,0.113,,0.11,,0.026666667,-1.574031268,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Amance,Garnier et al.,,France,,,,,,,0.24,-2.25,0.23,,0.12,-0.920818754,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,Ag Pond,Paul et al. ,,France,,,,0.35,0.0037,2 yrs,,,,,,,40.00,1.60,E,2,,0.17,245.95,2.39,42.16,42.16,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Gardsjon,Broberg and Persson 1984,,Sweden,,,,2.11,0.35,1979-1981,,,,,1,0,5.30,0.72,O,4.9,2.1,0.42,2.53,0.40,1.06,1.06,0.03,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Lake Shelbyville,David et al. 2006,Reservior,United States,,,,2730,44,2002-2003,0.226190476,0.361445783,0.227513851,-0.398305085,0.27,-0.568636236,40.00,1.60,E,5.5,,0.33,,5.07,,,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
need inputs to est retention,0,Argo Pond,Ferris and Lehman 2008,Reservior,US,,,"Huron River, MI",,0.669,,,,,,0.006027397,-2.219870184,,,,,,,,,,,,-15.69506726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
need inputs to est retention,0,Barton Pond,Ferris and Lehman 2008,Reservior,US,,,"Huron River, MI",,0.788,,,,,,0.012054795,-1.918840188,,,,,,,,,,,,-31.97969543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no TN,0,223,Dillon and Molot 1990; Cook et al. 1986,,Canada,,,,1.35,0.27,1976,0.98,0.84,0.92,,8.7,0.939519253,6.40,0.81,O,7.2,0.827586207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no TN,0,239,Dillon and Molot 1990,,Canada,,,,3.96,0.54,,0.73,0.89,0.82,,6.2,0.792391689,5.00,0.70,O,10.4,1.677419355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no TN,0,302N,Dillon and Molot 1990,,Canada,,,,,,77 to 79,0.69,,,,5.8,0.763427994,,,,5.7,0.982758621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no TN,0,302S,Dillon and Molot 1990,,Canada,,,,,,77 to 79,0.89,,,,8.3,0.919078092,,,,5.1,0.614457831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no TN,3,Batchawana South,Dillon and Molot 1990,,Canada,,,,,,77 to 79,0.22,0.29,0.24,,0.3,-0.522878745,,,,3.3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no TN,3,Clear ,Schindler and Nighswander 1970,,Canada,,,Ontario,1.25,0.884,67-69,,,0.98,,0.08,-1.096910013,5.00,0.70,O,12.5,156.25,1.7,,250,,,,,,,,,,,,0.80,,#DIV/0!,,0.88,,,,,,,,,,,,,,,,,,,,
no TN,3,Clearwater,Dillon and Molot 1990,,Canada,,,,,,77 to 79,0.51,0.74,0.61,,3.7,0.568201724,,,,8.3,2.243243243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no TN,0,Crystal,Dillon and Molot 1990,,Canada,,,,,,77 to 79,0.99,,,,25,1.397940009,,,,10.6,0.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no TN,3,Lohi,Dillon and Molot 1990,,Canada,,,,,,77 to 79,0.45,0.51,0.46,,1.001,0.000434077,,,,6.2,6.193806194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no TN,3,Turkey,Dillon and Molot 1990,,Canada,,,,,,77 to 79,0.28,0.34,0.29,,0.9,-0.045757491,,,,12.2,13.55555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no TN load,3,Agerisee,Hohener and Gachter 1993,,Europe,,,,,,1951,,,,,7.14,0.853698212,,,O,49,6.862745098,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no TN load,3,Alpnachersee,Hohener and Gachter 1993,,Europe,,,,,,1971 1973,,,,,0.29,-0.537602002,,,E,21.1,72.75862069,,,,,,,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no TN load,3,Boden-Obersee,Hohener and Gachter 1993,,Europe,,,,,,1978 1979,,,,,4.3,0.633468456,,,M,99,23.02325581,,,,,,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no TN load,3,Greifensee,Hohener and Gachter 1993,,Europe,,,,,,1951 19777 78,,,,,1.4,0.146128036,,,E,19,13.57142857,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no TN load,3,Pfaffikersee,Hohener and Gachter 1993,,Europe,,,,,,1951,,,,,2,0.301029996,,,E,17.4,8.7,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no TN load,3,Sempachersee,Hohener and Gachter 1993,,Europe,,,,,,1984 1986,,,,,16.7,1.222716471,,,E,44.4,2.658682635,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no TN load,3,Turlersee,Hohener and Gachter 1993,,Europe,,,,,,1953,,,,,2.1,0.322219295,,,O,14,6.666666667,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no TN?,3,Fjellgardsvatn,Kaste and Dillon 2003,,Norway,,,,67.5,2.2,1996 to 2000,0.07,0.34,0.1,,0.448529412,-0.348209073,3.50,0.54,O,42.7,95.2,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no TN?,0,langtjern,Kaste and Dillon 2003,,Norway,,,,4.79,0.23,1974 to 2000,0.25,0.3,0.18,,0.193548387,-0.713210443,3.50,0.54,O,2.4,12.4,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no TN?,3,lundetjenn o,Kaste and Dillon 2003,,Norway,,,,1.96,0.04,1999 to 2000,0.09,-0.16,0.06,,0.096418733,-1.015838581,3.50,0.54,O,7,72.6,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no TN?,3,Royravatn,Kaste and Dillon 2003,,Norway,,,,17.04,0.44,,0.08,0.28,0.09,,0.11722659,-0.930973866,3.50,0.54,O,16.4,139.9,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no TN?,3,Sandvatn,Kaste and Dillon 2003,,Norway,,,,1.88,0.3,1999,0.21,0.38,0.24,,0.335820896,-0.473892285,3.50,0.54,O,4.5,13.4,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMOVE?,3,Lago de Cidra,Gines ,Reservior,US,,,Puerto Rico,2023,,,,,,,,,600.00,2.78,E,,,,,,0.5455,,,,,,,,,,,,,,,,,,,http://www.awra.org/proceedings/sanjuan98/orlando/index.htm,,,"Ramos-Gin‚s, Orlando, 1997. Water balance and quantification of total phosphorus and total nitrogen loads entering and leaving the Lago de Cidra, Central Puerto Rico. U.S. Geological Water-Resources Investigations Report 96-4222, 28 pp.",,,,,,,,,,,,,
REMOVE?,3,Reitvlei Dam,Ashton 1981,Reservior,South Africa,,,,492,1.45,1976-1977 (2yrs),,,,,0.34,-0.468521083,290.00,2.46,E,5.8,17.05882353,,,,-0.4,26.73,1.426998959,,,,,,,,,,,7.22,19.5129,,,0.73,0.27,"highly eutrophic, warm. N fixation estimated as 13.5 g m-2 yr",,,,,,,,,,,,,,,,
REMOVE?,3,Shagawa,Malueg 1975,,US,,,,269,9.2,5yrs,,,,,0.8,-0.096910013,120.00,2.08,E,5.7,7.125,,,,-0.03,7.641304348,0.883167498,-0.253586957,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,
