,,,,,,,,,km2,km2,,%,%,%,%,yr,,ug/L,,,m,,ug L-1,mg/L,g C m2 yr,%,load,,retention,g/m2/yr,,,,,,,,,g/m2/yr,,,,%,,,,,,,,,,,,,,,,,,
Oliver_notes,status,Site,Primary_reference,Type,Location,latitude,longitude,Sub_location,Watershed_area,Lake_area,period,propNO3retention,propNH4retention,propDINretention,propTONretention,restime_y,logR,TP_ugL,LogTP,Status,zbar_m,h_myr1,Chla_ugL,DOC_mgL,Pprates_gCm2yr,PercTN_retention,Nload_gm2y,logNload,Nretention_gm2y,denitrifcation,p_mass_units,p_conc_units,tp_in_mass,tp_in_conc,tp_out_mass,tp_out_conc,PercP_retention,RpminusRn,inorganicload,organicload,inorganicremoval,organicremoval,PercOrganicLoad,PercInorganicLoad,Notes,,,,,,,,,,,,,,,,
,0,Orn,Windoff 1996 biogeochem,,Denmark,,,,,,1989-1992,,,,,0.04,-1.397940009,108.00,2.03,E,4,100,36,,,0.12,137.97,2.139784664,16.5564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changed N loading estimates based on Figure 2,1,Pyhajarvi,Ekholm 1997,lake,Finland,61.005141,22.31162,sw,461,154,,0.95,0.94,0.945,0.48,3,0.477121255,16.00,1.20,M,5.4,1.8,,,,0.82,2.99,,2.35,,kg d,,59,,8,,0.87,0.05,258.64,92.85,244.05,51.46,4,0.735849057,,,,,,,,,,,,,,,,,
,0,Salten Langso,Anderson 1974,,Denmark,,,,,3.05,early 1970s,,,,,0.161643836,-0.791440853,80.00,1.90,E,4.1,25.36440678,,,,0.234868421,25.31672131,1.403407461,5.946098361,0.95,,,,,,,0.55,0.315131579,,,,,,,,,,,,,,,,,,,,,,,
,0,Sogard,Windoff 1996 biogeochem,,Denmark,,,,,,1989-1992,,,,,0.07,-1.15490196,272.00,2.43,E,1.6,22.85714286,153,,,0.18,301.13,2.478746813,54.2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,St. Sogard,Windoff 1996 biogeochem,,Denmark,,,,,,1989-1992,,,,,0.17,-0.769551079,465.00,2.67,E,2.7,15.88235294,41,,,0.29,187.25,2.27241023,54.30105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Stigsholm so,Anderson 1974,,Denmark,,,,,0.27,early 1970s,,,,,0.030136986,-1.520900179,102.00,2.01,E,1.2,39.81818182,,,,0.239726027,82.40888889,1.915974059,19.75555556,19.5,,,,,,,-0.13,-0.369726027,,,,,,,,,,,,,,,,,,,,,,,
not sure where P retention estimate comes from,1,Superior,Sterner et al. 2007,lake,United States,47.811346,-87.542626,,127700,82170,,0.07,0.99,0.44,0.75,191,2.281033367,2.50,0.40,O,147,0.769633508,,1.3,118,0.18,0.88,-0.055912321,0.16,,,,,,,,0.93,0.75,0.56,0.316512,0.24758272,0.237384,0.36,0.64,,,,,,,,,,,,,,,,,
,1,Tuusulenjarvi,Ojanen? 1979,lake,Finland,60.441804,25.054364,,92,6,ave 4 yrs,,,,,0.602739726,-0.219870184,95.00,1.98,E,3.1,5.143181818,,,,0.497,22.4,1.350248018,11.1328,,g m2 y,,1.95,,0.5133375,,0.74,0.213,,,,,,,,,,,,,,,,,,,,,,,
,0,Vesterborg,Windoff 1996 biogeochem,,Denmark,,,,,,1989-1992,,,,,0.05,-1.301029996,241.00,2.38,E,1.4,28,105,,,0.22,280.69,2.448219204,61.7507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cannot find coordinates,1,Vilikkalanjarvi,Knuuttila et al. 1994,lake,Finland,,,,3.2,7.1,89-90,,,0.18,0.17,0.183561644,-0.736218062,120.00,2.08,E,3.2,17.43283582,20,,,0.19,55.40,1.743509765,9.68,,g m2 d,,3.05,,2.31,,0.24,0.05,43.21,12.188,7.77816,2.07196,0.22,0.78,,,,,,,,,,,,,,,,,
,0,Vortsjarv,Noges et al. 1998,,Estonia,,,,3104,126,1995,,,0.76,,0.88,-0.055517328,50.00,1.70,E,2.8,3.181818182,27,,224,0.53,7.70,0.886490725,4.081,,,,,,,,0.28,-0.25,5.11,2.6,4.015,0.045,0.34,0.66,,,,,,,,,,,,,,,,,
,1,Donghu,Havens2001,lake,China,0.33,114.23,,97,28,,,,,,0.43,-0.366531544,400.00,2.60,E,2.2,5.5,30,,,0.605,52.85714286,1.723103684,31.97857143,,kg y,ug L-1,95000,,10000,400,0.9,0.295,,,,,,,,,,,,,,,,,,,,,,,
,1,Kasumigaura,Havens2001,lake,Japan,36.02,140.23,,1429,168,"1970s, ten years avg",,,,,0.57,-0.244125144,75.00,1.88,E,4,7.01754386,60,,,0.693316195,23.1547619,1.36464032,16.05357143,,kg y,ug L-1,220000,,78000,75,0.65,-0.043316195,,,,,,,,,,,,,,,,,,,,,,,
,1,Okeechobee,Havens2001,lake,United States,26.58,-80.5,Florida,22500,1740,"1980s, 10 years data",,,,,3.8,0.579783597,98.00,1.99,E,2.7,0.710526316,20,,,0.46,3.191954023,0.504056627,1.468298851,,kg y,ug L-1,426000,,148000,98,0.65,0.19,,,,,,,,,,,,,,,,,,,,,,,
,1,Bergsvatn,Berge et al. 1997,lake,Norway,59.461969,10.098687,,18.6,0.35,92-94,,,,,0.120547945,-0.918840188,13.00,1.11,M,4.5,37.32954545,10,,,0.215690449,76.49057143,1.883607905,16.49828571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Eikenesvatn,Berge et al. 1997,lake,Norway,59.485827,10.095538,,27,0.084,92-94,,,,,0.006849315,-2.164352856,20.00,1.30,M,1.5,219,18,,,0.280703044,356.2059524,2.551701172,99.98809524,,,,,,,,,,,,,,,,high macrophyte cover,,,,,,,,,,,,,,,,
,1,Forlandsvatn,Berge et al. 1997,lake,Norway,58.496403,6.009806,,685,0.9,92-94,,,,,0.002465753,-2.608050355,6.00,0.78,O,4.6,1865.555556,1.2,,,-0.001860207,748.5428889,2.874216689,-1.39,,,,,,,,,,,,,,,,high macrophyte cover,,,,,,,,,,,,,,,,
,1,Grennesvant n,Berge et al. 1997,lake,Norway,59.495577,10.097785,,37.2,0.2,92-94,,,,,0.019178082,-1.717194824,18.00,1.26,M,2.3,119.9285714,13,,,0.074465433,246.7185,2.392201716,18.372,,,,,,,,,,,,,,,,high macrophyte cover,,,,,,,,,,,,,,,,
,1,Grennesvant S,Berge et al. 1997,lake,Norway,59.495577,10.097785,,28.8,0.1,92-94,,,,,0.004931507,-2.307020359,,,,1,202.7777778,,,,-0.111109767,330.709,2.519446014,-36.745,,,,,,,,,,,,,,,,high macrophyte cover,,,,,,,,,,,,,,,,
