"Data from Brooks, J. R., et al. (2014). ""Stable Isotope estimates of lake water evaporation:inflow and residence time for lakes across the United States as a tool for national lake water quality assessments."" Limnology and Oceanography 59(6): 2150-2165.",,,,,,,,,,,
SITE_ID,VISIT_NO,DATE_COL,E_I,RT,LON_DD,LAT_DD,LAKEAREA (km2),DEPTHMAX (m),Lake_Vol (m3),ELEV_PT (m),BASINAREA_KM2
NLA06608-0078,1,8/8/2007,0.922,0.61,-100.2942095,48.17781123,0.150711676,1.1,56659.91522,456.67,0.26
NLA06608-0079,1,7/12/2007,0.028,1.22,-107.2317809,39.98585506,1.309081557,47.8,19900029.63,2934,52.56
NLA06608-0080,1,9/9/2007,0.296,0.26,-91.56105203,34.1200351,0.797977042,3,629107.0062,51.5,4.66
NLA06608-0081,1,7/3/2007,0.164,0.65,-122.1241675,48.22612028,0.100070393,8.5,236291.6129,42.78,1.27
NLA06608-0083,1,6/13/2007,0.591,0.54,-99.13645049,45.95096444,0.483331063,2,257813.1778,590.81,17.25
NLA06608-0085,1,7/10/2007,0.502,0.5,-116.1414317,43.46045448,0.334234477,1.6,211028.5087,973.07,100.54
NLA06608-0086,1,8/2/2007,0.037,0.29,-122.4260347,45.61657075,1.013087296,14.2,5016418.078,55.6,153.77
NLA06608-0089,1,6/17/2007,0.045,0.19,-81.54174586,35.7733743,8.792648891,15,28681160.16,301.83,2824.80
NLA06608-0090,1,6/26/2007,0.122,0.88,-109.6534609,42.93075473,0.085285109,7.8,223397.304,2812,1.40
NLA06608-0091,1,7/10/2007,0.035,0.16,-87.43213825,41.36944118,3.055679078,3.7,3915155.845,211.77,21.32
NLA06608-0099,1,7/3/2007,0.162,1.59,-88.45255303,43.09951588,3.147521338,18.8,19033640.36,262.37,230.97
NLA06608-0101,1,8/21/2007,0.136,0.78,-73.48227989,42.02167966,0.614148982,10.1,1969469.825,532.8,6.28
NLA06608-0102,1,8/3/2007,0.04,0.94,-70.72328312,44.50713663,0.515524684,36.3,6405770.742,330.37,9.56
NLA06608-0104,1,6/22/2007,0.252,0.22,-98.26265148,37.65529355,0.567937505,1.9,341861.5957,479.33,1.76
NLA06608-0105,1,7/5/2007,0.177,0.6,-112.2015025,38.2350209,9.065113613,6,17301289.41,1820,6161.32
NLA06608-0107,1,6/25/2007,0.33,0.72,-85.08175821,41.65016117,0.124208037,4,169966.6317,300.77,0.61
NLA06608-0110,1,7/31/2007,0.53,3.42,-95.72856324,46.86973364,1.390508291,12.4,5021435.353,437.86,16.91
