lakenum,sourcenum,waterbody_name,State_Country,Surface_area_km2,meandepth_m,Inflow_rate_m3s,res_time,TPout,Loading_constant_kgy,Vol,Loading_mgm2y,TPoutoverTPin,Rp,Rp_predicted,TPin ,K,10divz,flushing_rate,qs,qs,tn_out_mass,tp_out_mass,tn_in_mass,tp_in_mass,Rn_source,Rp_source,tn_in_conc,tp_in_conc,tn_out_conc,tp_out_conc
44,14,Hiwassee,TVA,17.0,20.2,71.600,0.153,17,46355,344.00,2727,0.828,0.172,0.316,21,1.35,0.50,6.5,131.7,132.82,,,,,,,,,,
45,15,Norris,TVA,105.0,16.3,145.500,0.373,14,162790,1715.00,1550,0.395,0.605,0.412,35,4.12,0.61,2.7,43.7,43.70,,,,,,,,,,
46,16,South Holston,TVA,26.0,23.4,35.100,0.551,11,37595,609.00,1446,0.324,0.676,0.457,34,3.79,0.43,1.8,42.5,42.57,,,,,,,,,,
47,17,Tims Ford,TVA,39.6,14.9,33.500,0.562,22,24455,592.00,618,0.950,0.050,0.460,23,0.09,0.67,1.8,26.5,26.68,,,,,,,,,,
48,18,Watauga,TVA,22.8,24.5,25.700,0.688,12,39420,558.00,1729,0.247,0.753,0.483,49,4.44,0.41,1.5,35.6,35.55,,,,,,,,,,
49,1,West Okoboji,Iowa,15.4,11.90,0.291,20.000,36,2618,183.26,170,0.126,0.874,0.821,286,0.35,0.84,0.05,0.6,0.60,,,,,,,,,,
50,2,East Okoboji,Iowa,7.6,2.80,0.624,1.087,121,3744,21.39,490,0.636,0.364,0.537,190,0.53,3.57,0.92,2.6,2.58,,,,,,,,,,
51,3,Big Spirit,Iowa,21.7,5.20,0.751,4.762,43,5637,112.74,260,0.181,0.819,0.699,238,0.95,1.92,0.21,1.1,1.09,,,,,,,,,,
52,4,Loon,Iowa,2.9,1.50,0.354,0.391,85,1659,4.37,570,0.573,0.427,0.418,148,1.91,6.67,2.56,3.8,3.84,,,,,,,,,,
53,5,Silver,Iowa,4.3,1.80,0.293,0.840,150,2333,7.78,540,0.595,0.405,0.507,252,0.81,5.56,1.19,2.1,2.14,,,,,,,,,,
54,6,Center,Iowa,1.1,2.70,0.013,7.692,84,137,3.08,120,0.246,0.754,0.745,342,0.40,3.70,0.13,0.4,0.35,,,,,,,,,,
55,7,Lower Gar,Iowa,1.0,1.10,0.214,0.160,117,1107,1.08,1130,0.712,0.288,0.320,164,2.53,9.09,6.25,6.9,6.88,,,,,,,,,,
56,8,Black Hawk,Iowa,3.7,1.40,0.271,0.599,109,2123,5.12,580,0.439,0.561,0.467,248,2.13,7.14,1.67,2.3,2.34,,,,,,,,,,
57,9,Storm,Iowa,12.5,2.20,0.287,3.030,66,2492,27.41,200,0.240,0.760,0.653,275,1.05,4.55,0.33,0.7,0.73,,,,,,,,,,
58,10,Lost Island,Iowa,4.7,3.10,0.224,2.041,127,1814,14.42,390,0.495,0.505,0.610,257,0.50,3.23,0.49,1.5,1.52,,,,,,,,,,
59,11,Trumbell,Iowa,3.3,1.00,0.948,0.110,104,6777,3.29,2060,0.459,0.541,0.283,227,10.72,10.00,9.09,9.1,9.09,,,,,,,,,,
60,12,High,Iowa,2.2,1.00,0.095,0.730,130,785,2.18,360,0.495,0.505,0.490,263,1.40,10.00,1.37,1.4,1.37,,,,,,,,,,
61,13,Ingham,Iowa,1.4,1.50,0.059,1.163,88,864,2.16,600,0.189,0.811,0.545,465,3.69,6.67,0.86,1.3,1.29,,,,,,,,,,
62,14,North Twin,Iowa,1.8,3.00,0.062,2.703,53,513,5.31,290,0.203,0.797,0.641,261,1.45,3.33,0.37,1.1,1.11,,,,,,,,,,
63,15,Cornelia,Iowa,0.9,1.40,0.009,4.000,75,94,1.19,110,0.239,0.761,0.682,314,0.80,7.14,0.25,0.4,0.35,,,,,,,,,,
64,16,Clear,Iowa,14.4,2.70,0.210,5.882,36,2020,38.96,140,0.118,0.882,0.720,305,1.27,3.70,0.17,0.5,0.46,,,,,,,,,,
65,1,Aegerisee,Switzerland,7.24,49,1.294,8.696,7.6,1158,354.76,160,0.268,0.732,0.756,28,0.31,0.20,0.115,5.6,5.64,,,,,,,,,,
66,2,TÅrlersee,Switzerland,0.48,14,0.099,2.151,14.5,144,6.72,300,0.315,0.685,0.615,46,1.01,0.71,0.465,6.5,6.51,,,,,,,,,,
67,3,PfÑffikersee,Switzerland,3.31,18,0.727,2.597,88,4502,59.58,1360,0.448,0.552,0.636,196,0.47,0.56,0.385,6.9,6.93,,,,,,,,,,
68,4,Bodensee-Obsersee,Switzerland,477,100,310.074,4.878,115,1939005,47700.00,4065,0.580,0.420,0.702,198,0.15,0.10,0.205,20.5,20.50,,,,,,,,,,
69,5,Greifensee,Switzerland,8.56,19,2.527,2.041,118,13396,162.64,1565,0.702,0.298,0.610,168,0.21,0.53,0.49,9.3,9.31,,,,,,,,,,
70,6,Baldeggersee,Switzerland,5.25,34,1.245,4.545,162,9188,178.50,1750,0.692,0.308,0.695,234,0.10,0.29,0.22,7.5,7.48,,,,,,,,,,
71,7,Hallwilersee,Switzerland,10.3,28,2.378,3.846,40,5665,288.40,550,0.529,0.471,0.678,76,0.23,0.36,0.26,7.3,7.28,,,,,,,,,,
72,8,ZÅrichsee-Untersee,Switzerland,67.3,50,72.558,1.471,32,88836,3365.00,1320,0.824,0.176,0.572,39,0.15,0.20,0.68,34.0,34.00,,,,,,,,,,
73,1,Lunzer Untersee,Austria,0.68,20,1.198,0.360,8,347.1,13.60,511,0.855,0.145,0.408,9,0.47,0.50,2.8,55.6,55.56,,,,,,,,,,
74,2,Feldsee,Germany,0.0915,15.7,0.094,0.485,4,14.2,1.44,155,0.905,0.095,0.443,5,0.22,0.64,2.1,32.3,32.38,,,,,,,,,,
75,3,Lago di Mergozzo,Italy,1.825,45.4,0.560,4.700,6,967.3,82.93,530,0.102,0.898,0.698,55,1.87,0.22,0.2,9.7,9.67,,,,,,,,,,
76,4,Agno,Italy,2.04,53.9,1.466,2.380,167,20420.4,110.00,10010,0.378,0.622,0.627,442,0.69,0.19,0.4,22.6,22.66,,,,,,,,,,
77,5,Piburgersee,Austria,0.134,13,0.021,2.740,11,10.0,1.79,74.5,0.711,0.289,0.642,15,0.15,0.77,0.4,4.7,4.86,,,,,,,,,,
78,6,Ossiachersee,Austria,10.788,19.93,3.551,1.920,14,8080.2,215.00,749,0.200,0.800,0.603,72,2.08,0.50,0.5,10.4,10.38,,,,,,,,,,
79,7,Attersee,Austria,46.6,84.2,17.869,7.000,5,11393.7,3944.60,244.5,0.266,0.734,0.736,20,0.39,0.12,0.1,12.0,12.09,,,,,,,,,,
80,8,Sempachersee,Switzerland,14.4,46,1.199,16.500,74,15696.0,624.00,1090,0.178,0.822,0.807,415,0.28,0.22,0.1,2.8,2.63,,,,,,,,,,
81,9,VWS Kreuztrichter,Switzerland,56.98,75,108.457,1.380,26,75783.4,4720.00,1330,1.164,-0.164,0.565,22,-0.10,0.13,0.7,54.3,60.03,,,,,,,,,,
82,10,VWS Gersau,Switzerland,25.443,156,80.888,1.560,19,60299.9,3979.40,2370,0.791,0.209,0.579,24,0.17,0.06,0.6,100.0,100.26,,,,,,,,,,
83,11,VWS Urnersee,Switzerland,26.825,133,66.794,1.700,17,91741.5,3580.90,3420,0.395,0.605,0.589,44,0.90,0.08,0.6,78.2,78.52,,,,,,,,,,
84,12,Lago Maggiore,Italy,212.511,177,298.809,4.000,22,720412.3,37693.00,3390,0.288,0.712,0.682,76,0.62,0.06,0.3,44.3,44.34,,,,,,,,,,
85,13,Walensee WVZ,Switzerland,24.23,100,54.881,1.400,29,96920.0,2423.00,4000,0.511,0.489,0.567,56,0.68,0.10,0.7,71.4,71.43,,,,,,,,,,
86,14,ZÅrichsee Obersee,Switzerland,20.25,23,77.939,0.190,38,297675.0,467.00,14700,0.317,0.683,0.338,121,11.34,0.43,5.3,121.1,121.38,,,,,,,,,,
87,15,Lac Leman,France,582.36,152.69,256.330,11.000,92,861892.8,88920.00,1480,0.863,0.137,0.775,107,0.01,0.07,0.1,13.9,13.88,,,,,,,,,,
88,16,Lago di Oggiono,Italy,3.81,6.31,0.560,1.360,170,7620.0,24.03,2000,0.394,0.606,0.563,431,1.13,1.58,0.7,4.6,4.64,,,,,,,,,,
89,17,Lago di Pusiano,Italy,4.933,14.03,3.228,0.680,71,29598.0,69.23,6000,0.244,0.756,0.482,291,4.55,0.71,1.5,20.6,20.64,,,,,,,,,,
90,18,Lago di Montorfano,Italy,0.459,4.15,0.040,1.510,16,91.8,1.91,200,0.220,0.780,0.575,73,2.35,2.41,0.7,2.7,2.75,,,,,,,,,,
91,19,Lago del Segrino,Italy,0.378,3.17,0.090,0.420,38,378.0,1.20,1000,0.287,0.713,0.426,133,5.93,3.15,2.4,7.5,7.54,,,,,,,,,,
92,20,Lago d' Alserio,Italy,1.228,5.34,0.594,0.350,143,13508.0,6.55,11000,0.198,0.802,0.405,721,11.56,1.87,2.9,15.3,15.25,,,,,,,,,,
93,1,Bennet,New Brunswick,0.31,2.26,0.555,0.040,6,161,0.70,520,0.651,0.349,0.197,9,13.38,4.42,25.0,56.5,56.45,,,,,,,,,,
94,2,Mclaren,New Brunswick,0.0067,5.1,0.010,0.110,20.6,10,0.04,1560,0.645,0.355,0.283,32,5.00,1.96,9.1,46.4,48.85,,,,,,,,,,
95,3,Wolfe,New Brunswick,0.22,3.83,0.064,0.420,7.7,13,0.85,61,1.157,-0.157,0.426,7,-0.32,2.61,2.4,9.1,9.17,,,,,,,,,,
96,4,Grafton,Nova Scotia,2.7,2.8,1.685,0.140,10.5,540,7.44,200,1.033,-0.033,0.307,10,-0.23,3.57,7.1,20.0,19.68,,,,,,,,,,
97,5,Mountain,Nova Scotia,1.36,4.2,0.274,0.670,5.1,46,5.79,34,0.953,0.047,0.480,5,0.07,2.38,1.5,6.3,6.35,,,,,,,,,,
98,6,Pebbleloggitch,Nova Scotia,0.33,1.4,0.051,0.290,10.5,17,0.47,52,0.992,0.008,0.384,11,0.03,7.14,3.4,4.8,4.91,,,,,,,,,,
99,7,Kejimkujik,Nova Scotia,24.4,4.4,22.408,0.150,9.2,7270,106.00,298,0.894,0.106,0.314,10,0.79,2.27,6.7,29.3,28.96,,,,,,,,,,
100,8,Warren,Nova Scotia,0.898,15.9,1.619,0.280,6.2,340,14.30,379,0.931,0.069,0.380,7,0.26,0.63,3.6,56.8,56.87,,,,,,,,,,
101,9,Memphremagog N,Quebec,20.36,14.7,40.440,0.235,10.7,10320,299.70,507,1.318,-0.318,0.361,8,-1.03,0.68,4.3,62.6,62.64,,,,,,,,,,
102,10,Memphremagog S,Quebec,23.53,44.3,26.406,1.253,13.0,23072,1043.00,981,0.469,0.531,0.554,28,0.90,0.23,0.8,35.4,35.39,,,,,,,,,,
103,11,Memphremagog C,Quebec,56.07,6.2,36.175,0.304,18.6,26916,347.00,480,0.789,0.211,0.389,24,0.88,1.61,3.3,20.4,20.35,,,,,,,,,,
104,12,Pink's,Quebec,0.116,12.4,0.041,1.120,20.0,99,1.46,853,0.263,0.737,0.541,76,2.50,0.81,0.9,11.1,11.24,,,,,,,,,,
105,13,Beech,Ontario,1.36,9.8,8.269,0.051,7.4,2065,13.30,1518,0.935,0.065,0.216,8,1.37,1.02,19.6,192.2,191.75,,,,,,,,,,
106,14,Bob,Ontario,2.27,18,0.430,3.000,6.4,360,40.70,159,0.241,0.759,0.652,27,1.05,0.56,0.3,6.0,5.98,,,,,,,,,,
107,15,Cameron,Ontario,12.72,7.1,47.512,0.060,8.9,24905,89.90,1958,0.535,0.465,0.229,17,14.46,1.41,16.7,118.3,117.79,,,,,,,,,,
108,16,Eagle & Moose,Ontario,5.15,12.8,4.013,0.520,7.1,1155,65.80,224,0.778,0.222,0.451,9,0.55,0.78,1.9,24.6,24.57,,,,,,,,,,
109,17,Four Mile,Ontario,7.73,9.3,0.527,4.300,7.9,830,71.40,107,0.158,0.842,0.689,50,1.24,1.08,0.2,2.2,2.15,,,,,,,,,,
110,18,Halls,Ontario,5.32,27.2,4.105,1.120,3.7,1095,145.00,206,0.437,0.563,0.541,8,1.15,0.37,0.9,24.3,24.34,,,,,,,,,,
111,19,Oblong & Haliburton,Ontario,11.03,17.7,1.986,3.130,4.8,1380,196.00,125,0.218,0.782,0.656,22,1.15,0.56,0.3,5.7,5.68,,,,,,,,,,
112,20,Twelve Mile & Boskung,Ontario,11.65,18.1,14.137,0.480,6.1,3900,214.00,335,0.697,0.303,0.441,9,0.90,0.55,2.1,37.7,38.27,,,,,,,,,,
113,21,Dudley,Ontario,3.5,6.7,0.544,1.400,15.0,609,24.00,174,0.422,0.578,0.567,36,0.98,1.49,0.7,4.8,4.90,,,,,,,,,,
114,22,Jerry,Ontario,0.553,13.6,0.159,1.500,14.5,175,7.53,316,0.416,0.584,0.575,35,0.94,0.74,0.7,9.1,9.08,,,,,,,,,,
115,23,Harp,Ontario,0.75,13.9,0.094,3.500,11.0,135,10.40,180,0.242,0.758,0.668,45,0.89,0.72,0.3,4.0,3.96,,,,,,,,,,
116,24,Gravehurst,Ontario,4.13,7.6,0.553,1.800,68.0,9680,31.40,2344,0.123,0.877,0.595,555,3.98,1.32,0.6,4.2,4.22,,,,,,,,,,
117,25,Joseph,Ontario,49.9,25.3,1.904,20.900,7.9,3794,1255.00,76,0.125,0.875,0.824,63,0.33,0.40,0.0,1.2,1.20,,,,,,,,,,
118,26,L Joseph,Ontario,2.3,17,0.538,2.300,7.5,490,39.00,213,0.260,0.740,0.623,29,1.24,0.59,0.4,7.4,7.37,,,,,,,,,,
119,27,Muskoka,Ontario,130,16.8,71.887,0.940,9.3,70293,2131.00,541,0.300,0.700,0.520,31,2.48,0.60,1.1,17.9,17.44,,,,,,,,,,
120,28,Skeleton Bay,Ontario,1.6,9.4,1.982,0.240,11.0,1682,15.00,1051,0.409,0.591,0.363,27,6.03,1.06,4.2,39.2,39.06,,,,,,,,,,
121,29,Brewer,Ontario,0.41,5.7,0.069,1.060,8.6,36,2.30,88,0.518,0.482,0.534,17,0.88,1.75,0.9,5.4,5.29,,,,,,,,,,
122,30,Clarke,Ontario,0.2,5.6,0.592,0.060,10.0,198,1.12,990,0.943,0.057,0.229,11,1.01,1.79,16.7,93.3,93.33,,,,,,,,,,
123,31,Costello,Ontario,0.34,8.4,0.108,0.850,9.6,63,2.89,185,0.518,0.482,0.508,19,1.09,1.19,1.2,9.9,10.00,,,,,,,,,,
124,32,Found ,Ontario,0.13,11.6,0.002,20.000,7.0,5.6,1.50,43,0.094,0.906,0.821,75,0.48,0.86,0.1,0.6,0.58,,,,,,,,,,
125,33,Kearney,Ontario,0.32,7.3,0.172,0.430,12.1,71,2.33,222,0.923,0.077,0.429,13,0.19,1.37,2.3,17.0,16.93,,,,,,,,,,
126,34,L. McCualey,Ontario,0.18,3.8,0.023,0.950,7.1,16,0.69,89,0.322,0.678,0.521,22,2.21,2.63,1.1,4.0,4.04,,,,,,,,,,
127,35,Cranberry,Ontario,0.69,3.5,4.551,0.017,9.9,897,2.44,1300,1.584,-0.584,0.141,6,-21.69,2.86,58.8,205.9,208.01,,,,,,,,,,
128,36,Maple,Ontario,3.32,11.6,8.160,0.150,9.3,2762,38.60,832,0.866,0.134,0.314,11,1.03,0.86,6.7,77.3,77.51,,,,,,,,,,
129,37,Pine,Ontario,1.08,7.4,4.401,0.058,10.5,1139,8.05,1055,1.279,-0.279,0.226,8,-3.76,1.35,17.2,127.6,128.51,,,,,,,,,,
130,38,Raven,Ontario,1.07,0.73,0.330,0.075,8.3,224,0.78,209,0.386,0.614,0.248,22,21.21,13.70,13.3,9.7,9.72,,,,,,,,,,
131,39,Talbot,Ontario,1.07,0.85,0.144,0.200,15.3,105,0.91,98,0.664,0.336,0.343,23,2.53,11.76,5.0,4.3,4.25,,,,,,,,,,
132,40,L. Otter,Ontario,0.67,2.7,0.587,0.100,13,159,1.85,238,1.508,-0.508,0.274,9,-3.37,3.70,10.0,27.0,27.61,,,,,,,,,,
133,41,Rosseau,Ontario,58.4,25.5,9.784,4.800,8.2,8935,1481.00,153,0.283,0.717,0.700,29,0.53,0.39,0.2,5.3,5.28,,,,,,,,,,
134,42,Simcoe,Ontario,725,16,17.600,20.900,19,137750,11600.00,190,0.077,0.923,0.824,248,0.58,0.63,0.0,0.8,0.77,,,,,,,,,,
135,43,Superior,Great Lakes,82367,148,2094.732,185.000,4.6,4200000,12221000.00,51,0.072,0.928,0.929,64,0.07,0.07,0.0,0.8,0.80,,,,,,,,,,
136,44,Michigan,Great Lakes,58016,84,1871.830,89.000,11.5,6430000,4871000.00,111,0.106,0.894,0.902,109,0.10,0.12,0.0,0.9,1.02,,,,,,,,,,
137,45,Huron,Great Lakes,59570,61,5337.815,21.000,5.5,4860000,3535000.00,82,0.191,0.809,0.824,29,0.20,0.16,0.0,2.9,2.83,,,,,,,,,,
138,46,Ontario,Great Lakes,19009,86,6574.764,7.900,21.0,13770000,1638000.00,724,0.316,0.684,0.747,66,0.27,0.12,0.1,10.9,10.91,,,,,,,,,,
139,47,Winnepeg,Manitoba,23750,12,2573.023,3.500,60,6890000,284000.00,290,0.707,0.293,0.668,85,0.12,0.83,0.3,3.4,3.42,,,,,,,,,,
140,48,L 239,ELA,0.543,10.5,0.035,5.340,8.5,35,5.91,64,0.271,0.729,0.711,31,0.50,0.95,0.2,2.0,2.04,,,,,,,,,,
141,49,L 114,ELA,0.121,1.7,0.002,4.100,12,1,0.21,10,0.508,0.492,0.684,24,0.24,5.88,0.2,0.4,0.42,,,,,,,,,,
142,50,L 240,ELA,0.441,6.1,0.074,1.140,11,39,2.67,88,0.664,0.336,0.543,17,0.44,1.64,0.9,5.4,5.31,,,,,,,,,,
143,51,L 261,ELA,0.056,2.9,0.004,1.260,18.5,4,0.16,78,0.538,0.462,0.554,34,0.68,3.45,0.8,2.3,2.27,,,,,,,,,,
144,52,Echo,Saskatchewan,12.5,9.1,10.736,0.337,503,134500,114.10,10760,1.266,-0.266,0.401,397,-0.62,1.10,3.0,27.0,27.09,,,,,0.178988327,,2570,,2110,
145,53,Mission,Saskatchewan,7.6,8.7,10.273,0.192,497.5,140676,62.20,18510,1.146,-0.146,0.339,434,-0.66,1.15,5.2,45.3,42.63,,,,,0.009478673,,2110,,2090,
146,54,Katepwa,Saskatchewan,16.1,14.1,11.106,0.647,510,137011,226.60,8510,1.304,-0.304,0.476,391,-0.36,0.71,1.5,21.8,21.75,,,,,0.110047847,,2090,,1860,
147,55,Crooked,Saskatchewan,14.8,8.3,12.798,0.306,246.5,161024,123.50,10880,0.618,0.382,0.390,399,2.02,1.20,3.3,27.1,27.27,,,,,0.017045455,,1760,,1730,
148,56,Round,Saskatchewan,11,8.1,13.736,0.205,205,136180,88.80,12380,0.652,0.348,0.346,314,2.60,1.23,4.9,39.5,39.38,,,,,0.065789474,,1520,,1420,
149,57,Pasque,Saskatchewan,19.9,5.8,10.542,0.345,600,145000,114.70,7286,1.376,-0.376,0.403,436,-0.79,1.72,2.9,16.8,16.71,,,,,0.314666667,,3750,,2570,
150,58,Babine,Britsh Columbia,490.7,55.1,47.042,18.200,5.95,24150,27000.00,49,0.366,0.634,0.814,16,0.10,0.18,0.1,3.0,3.02,,,,,,,,,,
151,59,Kamloops,Britsh Columbia,52.1,71,733.289,0.160,9,900000,3700.00,17274,0.231,0.769,0.320,39,20.78,0.14,6.3,443.8,443.86,,,,,,,,,,
152,60,Kootenay,Britsh Columbia,389,94,646.527,1.800,18,290000,36700.00,746,1.266,-0.266,0.595,14,-0.12,0.11,0.6,52.2,52.41,,,,,,,,,,
153,61,Wood,Britsh Columbia,9.3,21,0.444,14.000,92,1453,196.00,156,0.887,0.113,0.795,104,0.01,0.48,0.1,1.5,1.51,,,,,,,,,,
154,62,Kalamalka,Britsh Columbia,26,59,1.064,45.000,9.7,2475,1510.00,95,0.132,0.868,0.870,74,0.15,0.17,0.0,1.3,1.29,,,,,,,,,,
155,63,Okanagan,Britsh Columbia,344.4,75.3,13.847,60.000,11.8,46834,26200.00,136,0.110,0.890,0.885,107,0.13,0.13,0.0,1.3,1.27,,,,,,,,,,
156,64,Skaha,Britsh Columbia,20.1,26.5,14.058,1.200,20.1,23991,532.00,1194,0.371,0.629,0.549,54,1.41,0.38,0.8,22.1,22.06,,,,,,,,,,
157,65,"Osoyoos, N.",Britsh Columbia,9.9,20.7,16.227,0.400,19.5,17510,204.70,1769,0.570,0.430,0.420,34,1.89,0.48,2.5,51.8,51.69,,,,,,,,,,
292,1,Boren,Sweden,28.0,6.0,20.318,0.291,22.8,32200,170.00,1150,0.453,0.547,0.384,50,4.15,1.67,3.4,20.6,22.88,318396.6881,14206.2128,596856.5814,16901.14563,0.466544061,0.159452672,,,,
293,2,Esrum,Denmark,17.3,12.3,0.479,14.567,238.0,9227,218.10,533,0.390,0.610,0.798,611,0.11,0.81,0.1,0.8,0.87,11221.39739,3929.563209,71375.24558,9378.368787,0.842783064,0.580997155,,,,
294,3,Gjersj?,Norway,2.7,22.7,0.526,4.700,26.9,1958,68.80,725,0.228,0.772,0.698,118,0.72,0.44,0.2,4.8,6.15,20268.62962,359.3666817,51984.2829,1648.046277,0.610100813,0.781943817,,,,
295,4,MÑlaren,Sweden,20.2,17.1,10.084,1.245,69.3,56560,346.00,2800,0.390,0.610,0.553,178,1.26,0.58,0.8,13.7,15.74,,,,,,,,,,
296,5,Mj?sa,Norway,365.0,153.0,290.493,6.175,10.0,273750,56244.00,750,0.335,0.665,0.725,30,0.32,0.07,0.2,24.8,25.10,3980934.857,84059.0255,4316895.873,274953.2692,0.077824675,0.694278865,,,,
297,6,Moss?-1,Denmark,13.1,10.3,1.903,2.300,136.7,11790,135.60,900,0.696,0.304,0.623,197,0.19,0.97,0.4,4.5,4.58,100552.0132,9301.966701,162141.4539,11921.8293,0.379850058,0.219753406,,,,
298,7,Moss?-2,Denmark,0.4,2.9,6.437,0.005,163.3,32000,1.00,80000,1.036,-0.036,0.084,158,-7.08,3.45,203.0,588.7,507.50,,,,,,,,,,
