Source,lake,type,state_country,drainage_area_km2,surface_area_km2,mean_depth_m,Inflow_rate_Q_m3s-1,retention_time_years,TP_lake,TN_lake,N_P_assay,N_P_limitation,TP_load_kgyr-1,TN_load_kgyr-1,TP_out_kgyr-1,TN_out_kgyr-1,Rp,Rn,Notes
EPA 475,Smith Mountain Reservoir,impoundment,Virginia,2652.9,80.9,35.1,28.3,3.200,0.016,0.735,,P,162165,1520045,9995,661230,0.94,0.56,
EPA 475,Bluestone Reservoir,impoundment,West Virginia,11924.4,8.3,5.8,167.2,0.008,0.074,1.380,,P,264385,7696845,237910,7503636,0.10,0.03,
EPA 475,Lake Lynn,impoundment,West Virginia,3654.5,7.0,12.8,88.4,0.033,0.006,0.710,,P,60575,2161745,24250,2061555,0.60,0.05,
EPA 475,Summersville Reservoir,impoundment,West Virginia,2082.4,11.0,21.0,53.1,0.137,0.011,0.940,,P,31025,1393890,27975,1414220,0.10,-0.01,
EPA 475,Tygart Reservoir,impoundment,West Virginia,3537.9,7.1,17.4,73.2,0.055,0.006,0.640,,P,48095,1417655,43935,1507515,0.09,-0.06,
EPA 476,Beaver Reservoir,impoundment,Arkansas,3087.3,114.2,17.8,42.5,1.500,0.022,0.610,P,P,82010,1608505,18580,1110180,0.77,0.31,
EPA 476,Bull Shoals Reservoir,impoundment,Arkansas,15672.1,183.9,20.4,165.0,0.710,0.015,0.530,P,P,103180,6951585,64915,3777390,0.37,0.46,
EPA 476,Table Rock Reservoir,impoundment,Arkansas,10411.8,174.4,19.1,114.8,0.904,0.022,0.600,P,P,259420,4866260,66555,6008260,0.74,-0.23,
EPA 476,Lake Taneycomo,impoundment,Missouri,11297.6,12.2,5.8,123.8,0.019,0.023,0.720,P,P,74145,6244090,87280,6038630,-0.18,0.03,
EPA 476,Blackfish Lake,natural ,Arkansas,288.8,1.6,1.8,287.1,0.022,0.424,2.425,co and N,P,112135,390900,92130,303920,0.18,0.22,
EPA 476,Blue Mountain Lake,impoundment,Arkansas,1263.9,11.7,2.6,14.6,0.068,0.058,0.480,N and P,P,16850,424500,31255,343495,-0.85,0.19,
EPA 476,Lake Catherine,impoundment,Arkansas,3926.4,7.9,5.5,65.7,0.022,0.029,0.430,P,P,78835,1188780,49340,1735280,0.37,-0.46,1 of 3 streams estimated
EPA 476,Hamilton Lake,impoundment,Arkansas,3732.2,24.3,9.7,62.8,0.118,0.024,0.420,N and P,P,71705,909965,34035,1008320,0.53,-0.11,
EPA 476,Ouchita Lake,impoundment,Arkansas,2861.9,162.3,16.3,43.6,1.900,0.015,0.335,co and P,P,28070,736830,23445,565151,0.16,0.23,
EPA 476,Chicot Lake,impoundment,Arkansas,1046.4,21.5,2.7,13.6,0.134,0.162,1.200,N,P,142535,873185,115735,700900,0.19,0.20,
EPA 476,Degray Reservoir,impoundment,Arkansas,1173.3,54.2,14.9,19.7,1.307,0.019,0.420,co and P,P,11750,193390,10270,268460,0.13,-0.39,
EPA 476,Lake Erling,impoundment,Arkansas,1023.0,28.3,2.1,10.3,0.184,0.054,0.665,N,co,24245,308575,16095,233290,0.34,0.24,
EPA 476,Greer's Ferry Reservoir,impoundment,Arkansas,2986.3,163.9,21.4,49.7,2.247,0.012,0.320,N and P,P,39400,927210,20525,1227040,0.48,-0.32,
EPA 476,Millwood Reservoir,impoundment,Arkansas,10733.0,118.2,2.2,165.3,0.049,0.040,0.490,N,P,262375,3608355,279845,2406545,-0.07,0.33,
EPA 476,Nimrod Lake,impoundment,Arkansas,177.6,14.6,2.5,24.4,0.047,0.039,0.435,N and P,P,15980,541855,30565,460910,-0.91,0.15,
EPA 476,Norfold Lake,impoundment,Arkansas,4682.7,89.0,17.3,50.2,0.973,0.015,0.510,P,P,21805,1664340,27840,1442945,-0.28,0.13,
EPA 476,Lake Ahquabi,impoundment,Iowa,12.8,0.5,3.0,0.1,0.721,0.062,1.120,P,,540,11355,180,4290,0.67,0.62,
EPA 476,Big Creek Reservoir,impoundment,Iowa,203.6,3.4,6.7,1.0,0.737,0.046,7.185,P,,7800,369210,2055,201830,0.74,0.45,
EPA 476,Black Hawk Lake,natural ,Iowa,60.3,3.7,1.7,0.3,0.742,0.185,1.715,P and N ,,2035,80490,1635,23995,0.20,0.70,
EPA 476,Lake MacBride,impoundment,Iowa,69.9,3.8,7.3,0.4,2.200,0.061,2.595,,P,2585,64880,725,28590,0.72,0.56,
EPA 476,Prairie Rose Lake,impoundment,Iowa,20.4,0.9,3.3,0.1,1.200,0.056,1.260,co and P,,635,14090,170,4705,0.73,0.67,
EPA 476,Rathbun Reservoir,impoundment,Iowa,1421.9,44.5,6.7,9.1,1.000,0.071,1.765,P,,108855,899170,19290,546945,0.82,0.39,
EPA 476,Red Rock Reservoir,impoundment,Iowa,31916.6,36.2,3.0,124.1,0.027,0.180,2.860,P,,2497730,30061150,978530,22386480,0.61,0.26,
EPA 476,Rock Creek Lake,impoundment,Iowa,107.5,2.6,2.7,0.6,0.392,0.065,2.430,P,,8125,92420,1450,70375,0.82,0.24,
EPA 476,Silver Lake,natural ,Iowa,8.2,1.3,1.2,0.0,1.200,0.034,4.390,P and N ,,315,4990,200,5495,0.37,-0.10,
EPA 476,Viking Lake,impoundment,Iowa,10.3,0.6,5.8,0.1,1.600,0.017,1.070,,N,300,4395,170,2785,0.43,0.37,
EPA 476,Cedar Bluff Reservoir,impoundment,Kansas,14322.7,26.8,8.5,2.7,4.300,0.017,0.535,P and N ,,4435,157745,2090,73875,0.53,0.53,
EPA 476,Council Grove Reservor,impoundment,Kansas,647.5,13.3,3.9,3.2,0.597,0.069,1.245,P,,27470,451100,9010,165745,0.67,0.63,
EPA 476,Elk City Reservoir,impoundment,Kansas,1642.1,17.8,2.4,11.5,0.123,0.030,0.870,P,,39690,553460,21940,405870,0.45,0.27,
EPA 476,Fall River Reservoir,impoundment,Kansas,1515.1,10.5,3.0,10.3,0.110,0.053,0.650,P,,19375,502370,24695,542230,-0.27,-0.08,
EPA 476,John Redmond Reservoir,impoundment,Kansas,7808.8,38.0,2.0,40.4,0.063,0.118,1.810,P,P,349855,3922240,199875,2480455,0.43,0.37,
EPA 476,Kanopolis Reservoir,impoundment,Kansas,20349.6,14.4,4.5,9.6,0.329,0.056,1.210,P,P,95620,639195,21020,496565,0.78,0.22,
EPA 476,Marion Reservoir,impoundment,Kansas,518.0,24.9,4.1,2.3,2.400,0.010,1.180,P,P,10220,159625,2850,52510,0.72,0.67,
EPA 476,Melvern Reservoir,impoundment,Kansas,909.1,28.1,6.0,6.2,1.100,0.034,0.935,P,P,22085,504400,8465,355240,0.62,0.30,
EPA 476,Milford Reservoir,impoundment,Kansas,64465.1,65.5,7.8,27.2,0.781,0.079,1.200,P,P,428565,2359615,48260,1327935,0.89,0.44,
EPA 476,Norton Reservoir,impoundment,Kansas,1771.6,8.9,5.0,1.0,1.800,0.122,1.220,N,N,11125,73605,2750,21220,0.75,0.71,
EPA 476,Pewry Reservoir,impoundment,Kansas,2893.0,49.4,3.7,13.5,0.770,0.055,1.420,P,P,102350,776880,24850,515860,0.76,0.34,
EPA 476,Pomona Reservoir,impoundment,Kansas,834.0,16.2,6.4,5.3,0.529,0.040,1.650,P,P,15875,370035,13385,316370,0.16,0.15,
EPA 476,Toronto Reservoir,impoundment,Kansas,1934.7,11.3,2.5,14.7,0.060,0.067,0.675,P,,25605,636765,35940,661285,-0.40,-0.04,
EPA 476,Tuttle Creek Reservoir,impoundment,Kansas,24967.6,63.9,8.2,54.7,0.381,0.162,1.460,,co or N,1424305,7726510,229125,4192595,0.84,0.46,
EPA 476,Wilson Reservoir,impoundment,Kansas,4965.0,36.4,8.4,5.1,2.800,0.023,0.835,P,,17135,290048,5065,160140,0.70,0.45,
EPA 476,Anacoco Lake,impoundment,Louisiana,538.7,10.5,2.8,7.5,0.123,0.031,0.545,N,N,6440,163595,7805,250740,-0.21,-0.53,
EPA 476,Lake Histineau,impoundment,Louisiana,3752.9,69.7,2.1,41.2,0.115,0.061,0.650,N,N,116075,1090870,63385,878300,0.45,0.19,
EPA 476,Black Bayou Reservoir,impoundment,Louisiana,608.6,16.1,1.4,6.9,0.101,0.046,0.630,N,N,17215,216105,7985,170090,0.54,0.21,
EPA 476,Bundick Lake,impoundment,Louisiana,546.5,7.1,1.6,7.3,0.041,0.157,0.820,N,N,53025,251955,31130,264074,0.41,-0.05,1 of 4 streams estimated
EPA 476,Cocodrie Lake,natural ,Louisiana,621.4,24.7,0.5,9.7,0.038,0.106,0.820,N,,14685,180435,13075,186195,0.11,-0.03,
EPA 476,Cotile Reservoir,impoundment,Louisiana,104.6,7.3,4.3,1.7,0.564,0.037,0.520,N,N,3385,32525,4150,45175,-0.23,-0.39,
EPA 476,Cross Lake,impoundment,Louisiana,655.3,35.8,2.7,4.9,0.493,0.057,0.830,co and N,N,12075,165950,11965,167780,0.01,-0.01,
EPA 476,Bayou D'Araonne Lake,impoundment,Louisiana,4162.1,61.6,2.6,49.8,0.099,0.038,0.460,co and N,P,82060,1254905,48615,1361750,0.41,-0.09,
EPA 476,Indian Creek Reservoir,impoundment,Louisiana,58.3,9.1,3.4,0.8,1.208,0.031,0.600,P and co,P,555,18755,1085,18030,-0.95,0.04,
EPA 476,Turkey Creek Lake,impoundment,Louisiana,461.0,12.5,2.0,5.0,0.156,0.176,0.820,N,N,47225,247895,29890,202615,0.37,0.18,
EPA 476,Lake Vernon,impoundment,Louisiana,295.3,17.1,4.1,1.1,0.540,0.018,0.620,P,P,4170,100375,2995,73175,0.28,0.27,
EPA 476,Clearwater Lake,impoundment,Missouri,2325.8,6.6,4.1,24.1,0.036,0.017,0.300,P,P,7660,786135,20965,973230,-1.74,-0.24,
EPA 476,Pomme de Terre Reservoir,impoundment,Missouri,1592.8,31.7,9.5,11.8,0.860,0.043,0.805,P,P,20780,607035,12680,433540,0.39,0.29,
EPA 476,Stockton Reservoir,impoundment,Missouri,3004.4,100.7,7.3,22.7,1.100,0.022,0.985,P,P,49295,1791210,10740,1106085,0.78,0.38,
EPA 476,Thomas Hill Reservoir,impoundment,Missouri,388.5,17.8,4.1,2.1,1.200,0.082,1.550,P,co,8535,203680,3700,107770,0.57,0.47,
EPA 476,Lake Wappapello,impoundment,Missouri,3395.5,16.6,3.0,38.6,0.038,0.033,0.350,P,P,31960,1370080,52670,1526360,-0.65,-0.11,
EPA 476,Brached Oak Reservoir,impoundment,Nebraska,214.7,7.3,5.5,0.8,2.800,0.044,0.860,,N,5250,55755,1035,16065,0.80,0.71,
EPA 476,Harlan County Reservoir,impoundment,Nebraska,35045.7,54.5,7.8,11.4,1.400,0.112,1.090,,N or co,121125,1044895,24710,349165,0.80,0.67,
EPA 476,Harry D. Strunk Reservoir,impoundment,Nebraska,1657.6,7.5,5.8,2.1,0.767,0.064,1.030,P,,45880,262480,2725,112530,0.94,0.57,
EPA 476,Hugh Butler Reservoir,impoundment,Nebraska,828.8,6.6,5.9,1.4,1.200,0.061,0.740,,N,10595,88390,1940,48705,0.82,0.45,
EPA 476,Johnson Reservoir,impoundment,Nebraska,,11.5,6.1,33.4,0.074,0.075,0.940,P,,77460,1622910,52295,1172080,0.32,0.28,
EPA 476,C.W. McConaughy Reservoir,impoundment,Nebraska,66821.9,141.6,19.8,45.1,2.400,0.027,0.830,P,,192410,4224770,38575,1216105,0.80,0.71,
EPA 476,Pawnee Reservoir,impoundment,Nebraska,85.2,3.0,3.7,0.2,2.900,0.060,1.065,,co and N,2190,16885,555,5560,0.75,0.67,
EPA 476,Swanson Reservoir,impoundment,Nebraska,10204.6,20.1,7.3,4.2,1.400,0.067,0.620,,N,17495,276510,5930,138805,0.66,0.50,
EPA 476,Lake Ashtabula,impoundment,North Dakota,4946.9,22.0,4.0,3.7,0.833,0.260,1.674,N,N,32035,302865,25825,243675,0.19,0.20,
EPA 476,Lake Darling,impoundment,North Dakota,8417.5,40.1,3.4,3.3,1.400,0.274,1.560,N,N,19090,245400,10720,163400,0.44,0.33,
EPA 476,Jamestown Reservoir,impoundment,North Dakota,1942.5,4.9,7.5,0.7,1.600,0.144,1.425,co,N,4490,50470,4570,34875,-0.02,0.31,
EPA 476,Lake Lamoure,impoundment,North Dakota,357.4,2.0,5.0,0.2,1.900,0.438,2.090,N,N,2690,10345,1580,9040,0.41,0.13,
EPA 476,Matejcek Lake,impoundment,North Dakota,227.9,0.5,4.2,0.1,0.647,0.228,1.360,N,N,800,7450,510,7320,0.36,0.02,
EPA 476,Lake Sakakawea,impoundment,North Dakota,469825.8,1490.2,18.9,652.9,1.600,0.016,0.330,co,co,6697765,28137180,462250,10446205,0.93,0.63,
EPA 476,Sweet Briar Lake,impoundment,North Dakota,393.7,1.1,2.9,0.2,0.501,0.092,1.320,N,N,1885,23430,1030,12265,0.45,0.48,
EPA 476,Whitman Lake,impoundment,North Dakota,111.4,0.6,2.7,0.1,0.699,0.260,1.300,N,N,480,5340,520,5340,-0.08,0.00,
EPA 476,Altus Reservoir,impoundment,Oklahoma,5480.4,25.4,6.4,4.1,2.100,0.041,0.630,,N,10705,902745,3910,96825,0.63,0.89,
EPA 476,Arbuckle Lake,impoundment,Oklahoma,326.3,9.5,9.4,1.3,3.200,0.020,0.440,N,P,3810,61220,885,28905,0.77,0.53,
EPA 476,Lake Elsworth,impoundment,Oklahoma,642.3,22.6,5.1,4.3,1.400,0.037,0.620,N,P,5495,163610,4665,89635,0.15,0.45,
EPA 476,Lake Eufaula,impoundment,Oklahoma,97958.9,414.8,10.1,181.7,0.847,0.081,0.810,N,N,1726905,11218190,1084280,10392320,0.37,0.07,
EPA 476,Fort Cohr Reservoir,impoundment,Oklahoma,787.4,16.5,6.4,1.2,7.600,0.038,0.760,N,N,9370,106415,590,16100,0.94,0.85,
EPA 476,Fort Supply Reservoir,impoundment,Oklahoma,3869.5,7.6,11.9,2.3,1.600,0.070,0.690,,N,3320,52675,2670,60715,0.20,-0.15,
EPA 476,Lake Frances,impoundment,Oklahoma,1644.6,2.3,1.8,16.5,0.008,0.014,2.135,N and P,P,84780,1328000,66540,1069760,0.22,0.19,
EPA 476,Grand Lake of the Cherokees,impoundment,Oklahoma,26671.5,188.2,10.9,194.7,0.353,0.087,1.130,P,P,1297850,13583175,684480,10157185,0.47,0.25,1 of 8 streams estimated
EPA 476,Lake Hefner,impoundment,Oklahoma,25.1,19.1,9.1,1.5,2.900,0.057,0.710,N,N,4535,61470,950,54640,0.79,0.11,
EPA 476,Keystone Reservoir,impoundment,Oklahoma,162673.4,106.4,7.7,179.7,0.153,0.136,1.200,N,N,1753845,14289580,785740,8746810,0.55,0.39,
EPA 476,Oologah Reservoir,impoundment,Oklahoma,11237.7,119.2,5.7,71.7,0.299,0.059,0.940,P,P,411460,4238215,159885,3743220,0.61,0.12,
EPA 476,Tenkiller Ferry Reservoir,impoundment,Oklahoma,4169.9,51.2,15.5,41.2,0.658,0.039,0.900,P,P,109050,2596950,59305,2070280,0.46,0.20,
EPA 476,Lake Thunderbird,impoundment,Oklahoma,662.3,24.6,6.0,1.8,14.600,0.027,0.675,P and N ,P,7880,105740,440,8235,0.94,0.92,
EPA 476,Wister Reservoir ,impoundment,Oklahoma,2570.7,16.2,2.3,28.2,0.044,0.080,0.645,N and P,N and P,46725,664290,58145,791155,-0.24,-0.19,
EPA 476,Lake alvin,impoundment,South Dakota,114.0,0.4,3.7,0.1,0.890,0.067,1.960,P,N,625,5480,295,4160,0.53,0.24,
EPA 476,Angustura Reservoir,impoundment,South Dakota,23569.0,19.6,9.1,4.0,1.500,0.019,0.470,P and co,P,10280,180320,1100,181245,0.89,-0.01,
EPA 476,Deerfield Lake,impoundment,South Dakota,248.6,1.7,10.5,0.2,2.000,0.033,0.260,P and N,N,320,7755,275,5500,0.14,0.29,
EPA 476,Pactola Reservoir,impoundment,South Dakota,828.8,3.5,46.4,1.1,1.600,0.011,0.245,,P and N,4085,39545,455,22345,0.89,0.43,
EPA 476,Richmond Lake,impoundment,South Dakota,450.7,3.4,4.6,0.0,54.000,0.144,1.570,N,N,375,6075,30,410,0.92,0.93,
EPA 476,Sand lake,impoundment,South Dakota,10308.2,3.1,0.8,2.4,0.033,0.489,2.290,N,N,21915,181130,17010,142740,0.22,0.21,
EPA 476,Sheridan Lake,impoundment,South Dakota,230.5,1.6,10.2,0.1,3.600,0.053,0.565,,N,295,5320,170,3060,0.42,0.42,
EPA 476,Stockade Lake ,impoundment,South Dakota,202.0,0.5,5.8,0.1,0.751,0.233,1.270,N,N,660,5590,1075,14780,-0.63,-1.64,
EPA 476,East Vermillion Lake,impoundment,South Dakota,1036.0,2.2,3.7,0.1,2.800,0.211,1.840,N,N,660,8530,120,3655,0.82,0.57,
EPA 476,Amistad Reservoir,impoundment,Texas,318828.9,262.5,16.5,58.5,3.800,0.013,0.720,P,P,257295,4244880,14320,1193690,0.94,0.72,1 of 4 streams estimated
EPA 476,Lake Bastrop,impoundment,Texas,24.6,3.7,5.6,0.2,5.200,0.022,0.525,,N and P,985,12100,105,5795,0.89,0.52,"1 stream not included, but called a diversion"
EPA 476,Belton Reservoir,impoundment,Texas,9230.8,50.3,10.8,18.3,1.600,0.016,0.520,P,P,198660,953855,17455,480930,0.91,0.50,
EPA 476,Lake Brownwood,impoundment,Texas,3975.6,29.5,6.0,4.9,1.500,0.027,0.485,P and N ,P and N,8515,235640,2975,85915,0.65,0.64,
EPA 476,Lake Buchanan,impoundment,Texas,80937.4,93.3,13.1,27.0,1.700,0.036,0.580,P,P,91870,1596125,15995,660840,0.83,0.59,
EPA 476,Caddo Lake,impoundment,Texas,7107.0,132.1,1.8,58.9,0.115,0.051,0.700,N,N,97075,1449630,103390,1775590,-0.07,-0.22,
EPA 476,Calaveras Lake,impoundment,Texas,174.6,14.0,5.5,0.4,20.000,0.038,0.820,,N,10550,55455,175,3245,0.98,0.94,"1 stream not included, but called a diversion"
EPA 476,Canyon Reservoir,impoundment,Texas,3719.2,33.4,14.0,8.8,1.000,0.010,0.630,P,P,5120,490815,3105,174140,0.39,0.65,
EPA 476,Lake Colorado City,impoundment,Texas,834.0,6.5,6.0,0.3,3.900,0.042,0.760,N,P,1390,25985,1385,16620,0.00,0.36,
EPA 476,Lake Corpus Christi,impoundment,Texas,43149.4,88.6,4.2,25.4,0.479,0.113,0.640,N,N,212955,1648875,84990,611415,0.60,0.63,
EPA 476,Lake Diversion,impoundment,Texas,5710.9,13.8,3.7,4.3,0.427,0.025,0.525,P and N,P,4580,118465,3575,91090,0.22,0.23,1 of 2 streams estimated
EPA 476,Eagle Mountain Lake,impoundment,Texas,5102.3,36.4,6.4,8.1,0.995,0.024,0.420,,co and N,55120,444030,9390,236255,0.83,0.47,
EPA 476,Lake Fort Phantom Hill,impoundment,Texas,1238.0,10.9,5.6,1.2,2.200,0.060,0.560,N,N,4025,91650,1550,25050,0.61,0.73,"1 stream not included, but called a diversion"
EPA 476,Lake Lyndon B. Johnson,impoundment,Texas,93991.1,25.8,6.7,37.4,0.153,0.042,0.850,P,P,35985,998300,34975,1092665,0.03,-0.09,
EPA 476,Lake Kemp,impoundment,Texas,5402.7,62.2,5.3,5.4,2.800,0.023,0.510,P and N,P,12240,215935,3745,88920,0.69,0.59,
EPA 476,Lake Houston,impoundment,Texas,7324.5,49.5,8.7,44.7,0.151,0.097,0.980,co and N,co,303670,2204575,171455,1779315,0.44,0.19,1 of 8 streams estimated
EPA 476,Lake of the Pines,impoundment,Texas,2201.5,75.3,4.1,17.4,0.605,0.031,0.530,an,co,64625,723105,16810,388395,0.74,0.46,
EPA 476,Lake Lavon,impoundment,Texas,1994.3,86.4,6.5,13.5,1.400,0.063,0.410,,"co, P and N",88705,871115,20000,395285,0.77,0.55,1 of 6 streams estimated
EPA 476,Lake Lewisville,impoundment,Texas,4299.4,93.9,6.0,17.5,0.800,0.045,0.655,P and co,co,117105,1046730,36980,529400,0.68,0.49,
EPA 476,Livingston Reservoir,impoundment,Texas,42950.0,334.3,6.5,191.6,0.356,0.196,1.310,N,N,2148560,12371645,923050,7703650,0.57,0.38,
EPA 476,Medina Reservoir,impoundment,Texas,1642.1,22.6,13.9,4.5,2.700,0.010,0.780,P,P,2885,210420,1160,87290,0.60,0.59,
EPA 476,Lake Meredith,impoundment,Texas,41564.3,66.8,16.0,6.9,8.600,0.021,0.435,,co and N,427955,1629070,1880,75185,1.00,0.95,
EPA 476,Palestine Reservoir,impoundment,Texas,2201.5,103.4,4.9,12.6,1.300,0.031,0.660,co,co,69655,541560,8995,231505,0.87,0.57,
EPA 476,Possum Kingdon Reservoir,impoundment,Texas,58404.5,80.1,11.2,28.6,1.000,0.023,0.520,,N or co,216665,1632135,29835,1006145,0.86,0.38,
EPA 476,O.C. Fisher ,impoundment,Texas,3853.9,21.9,6.5,0.8,11.000,0.098,0.995,N,P,1395,69910,1160,13070,0.17,0.81,
EPA 476,San Rayburn Reservoir,impoundment,Texas,8932.9,464.5,7.7,43.4,1.400,0.029,0.600,,"co, P and N",140055,1692020,80910,1554360,0.42,0.08,
EPA 476,E.V. Spence Reservoir,impoundment,Texas,40766.6,25.6,6.7,2.1,7.100,0.036,0.630,,"co, N and P",14120,118660,720,14945,0.95,0.87,
EPA 476,Somerville Lake,impoundment,Texas,2610.7,46.4,4.3,7.8,0.600,0.053,0.720,P and N,P,25015,438140,16835,276400,0.33,0.37,
EPA 476,Lake Stamford,impoundment,Texas,932.4,19.0,3.5,4.5,2.500,0.073,0.920,,N,27425,124680,2310,34515,0.92,0.72,
EPA 476,Stillhouse Hollow Reservoir,impoundment,Texas,3413.6,26.0,11.3,8.3,1.000,0.018,0.415,P,P,9585,275185,3520,143395,0.63,0.48,
EPA 476,Lake Tawakoni,impoundment,Texas,1957.9,148.5,7.7,11.3,3.200,0.046,0.630,,N or co,134705,939115,16350,274870,0.88,0.71,
EPA 476,Lake Texoma,impoundment,Texas,87500.5,360.2,5.7,147.7,0.474,0.042,0.600,,co and N,1478415,10983115,591900,6143655,0.60,0.44,1 of 6 streams estimated
EPA 476,Lake Travis,impoundment,Texas,98756.6,76.6,18.9,48.4,1.000,0.018,0.580,P or co,P,49400,1933135,27165,1121110,0.45,0.42,
EPA 476,Twin Ruttes Reservoir,impoundment,Texas,6594.1,36.5,6.3,1.2,14.900,0.029,0.740,P and N,P,1550,111200,625,16470,0.60,0.85,
EPA 476,White River Reservoir,impoundment,Texas,2007.2,7.3,6.5,0.5,12.800,0.020,0.560,,"N, P and co",460,21035,65,3525,0.86,0.83,
EPA 476,Whitney Reservoir,impoundment,Texas,67780.2,95.4,8.1,48.8,0.800,0.028,0.620,,P and co,117880,1667460,28815,1395635,0.76,0.16,
EPA 476,Wright Patman,impoundment,Texas,8917.4,126.1,3.0,75.5,0.156,0.106,0.660,N,N,258495,2318485,294435,2247780,-0.14,0.03,
EPA 477,Lake Havasu,impoundment,Arizona,463091.8,77.3,9.2,306.0,0.088,0.015,0.540,P,P,281720,8074100,190275,7826805,0.32,0.03,
EPA 477,Luna Lake,impoundment,Arizona,93.5,0.3,2.5,0.1,0.293,0.182,0.720,N,N,570,4525,540,2320,0.05,0.49,
EPA 477,Lyman Lake,impoundment,Arizona,2046.1,5.7,6.7,0.8,2.400,0.099,0.430,N,N,9725,47925,3445,43090,0.65,0.10,
EPA 477,Lake Mohave,impoundment,Arizona,438486.6,105.6,18.9,215.0,0.200,0.017,0.600,P,P,252960,12216425,203395,8797855,0.20,0.28,
EPA 477,Rainbow Lake,natural ,Arizona,26.2,0.3,4.6,0.3,0.468,0.046,0.620,N,N,695,11370,340,6000,0.51,0.47,
EPA 477,Theodore Roosevelt Lake,impoundment,Arizona,15084.2,60.7,28.0,32.0,1.900,0.020,0.220,N,N,126490,678060,22380,401180,0.82,0.41,
EPA 477,San Carlos Reservoir,impoundment,Arizona,33374.7,52.6,15.3,12.2,2.900,0.056,0.520,N,N,491980,1076820,10165,239960,0.98,0.78,
EPA 477,Lake Amador,impoundment,California,151.3,1.6,17.4,1.2,0.715,0.040,0.680,P and N,P,3815,79980,1800,68335,0.53,0.15,
EPA 477,Boca Reservoir,impoundment,California,445.5,4.0,12.8,6.0,0.307,0.012,0.220,N and P,P,3380,78165,2675,72570,0.21,0.07,
EPA 477,Lake Britton,impoundment,California,11929.5,5.1,9.8,97.5,0.016,0.067,0.315,N,N,223315,2408455,226420,2454865,-0.01,-0.02,
EPA 477,Lake Casitas,impoundment,California,89.4,11.0,28.6,0.5,19.100,0.029,0.280,,N,420,24300,445,14865,-0.06,0.39,
EPA 477,Don Pedro Reservoir,impoundment,California,3957.9,52.5,47.7,46.9,1.700,0.013,0.250,,N and P,54935,1336350,26600,1328520,0.52,0.01,
EPA 477,Fallen Leaf Lake,natural ,California,43.3,5.7,1.5,1.5,0.175,0.007,0.220,,N and co,635,38255,510,28475,0.20,0.26,
EPA 477,Lake Hennessey,impoundment,California,134.7,3.5,10.5,1.4,1.000,0.027,0.350,N,N,5155,61695,7760,39955,-0.51,0.35,
EPA 477,Lake Henshaw,impoundment,California,533.5,24.4,6.1,1.0,5.700,0.138,0.620,N,N,2115,70365,5510,39460,-1.61,0.44,
EPA 477,Iron Gate Reservoir,impoundment,California,11838.9,3.4,21.4,74.5,0.030,0.184,1.520,N,N,372800,4085210,345290,4944425,0.07,-0.21,
EPA 477,Lopez Reservoir,impoundment,California,175.3,3.8,16.6,0.3,7.300,0.371,0.540,N,N,4275,11985,2835,7865,0.34,0.34,
EPA 477,Lake Mendocino,impoundment,California,271.9,7.9,19.1,11.0,0.460,0.020,0.320,,N,31360,393180,19285,275870,0.39,0.30,
EPA 477,Nicasio Reservoir,impoundment,California,93.2,3.4,8.1,1.4,0.701,0.055,0.690,,N and P,2055,70440,2575,68470,-0.25,0.03,
EPA 477,Lake Pillsbury,impoundment,California,748.5,8.1,14.3,16.1,0.238,0.022,0.230,N,co,26015,455680,30910,599395,-0.19,-0.32,
EPA 477,Santa Margarita Lake,impoundment,California,290.1,3.2,10.1,0.7,1.600,0.037,0.420,N,N,1540,13090,935,14135,0.39,-0.08,
EPA 477,Shasta Lake,impoundment,California,16630.4,119.4,46.5,295.4,0.595,0.021,0.240,,N,364615,11412135,316715,13283340,0.13,-0.16,
EPA 477,Shaver Lake,impoundment,California,75.4,8.4,19.9,7.6,0.690,0.014,0.250,P and N,N,880,37695,3620,66825,-3.11,-0.77,
EPA 477,Tullock Reservoir,impoundment,California,2533.3,5.1,16.5,51.6,0.052,0.025,0.280,,N and P,37420,1528945,32540,1506550,0.13,0.01,
EPA 477,Lower Twin Lake,natural ,California,101.3,1.5,15.2,1.7,0.430,0.014,0.220,,N and P,835,49200,695,51060,0.17,-0.04,
EPA 477,Upper Twin Lake,natural ,California,76.4,1.1,14.3,1.3,0.373,0.015,0.220,,N and P,895,33040,615,36200,0.31,-0.10,
EPA 477,Barker Reservoir,impoundment,Colorado,99.2,1.7,8.3,1.6,0.285,0.023,0.420,,co and N,1005,31520,860,26340,0.14,0.16,
EPA 477,Blue Mesa Reservoir,impoundment,Colorado,8873.3,36.6,31.1,47.6,0.890,0.019,0.320,,N,97560,1199830,30730,817720,0.69,0.32,
EPA 477,Cherry Creek Reservoir,impoundment,Colorado,997.1,3.2,5.2,0.2,3.600,0.054,0.770,N,N,4945,26340,745,6870,0.85,0.74,
EPA 477,Dillon Reservoir,impoundment,Colorado,867.6,12.8,24.6,9.6,1.300,0.009,0.220,,P,7770,207260,2225,174050,0.71,0.16,
EPA 477,Grand Lake,natural ,Colorado,479.1,2.1,41.3,13.5,0.252,0.013,0.220,P,,10420,402685,5980,199480,0.43,0.50,res time includes Shadow Lake and Grand Lake combined
EPA 477,Green Mountain Reservoir,impoundment,Colorado,1551.4,8.6,22.2,13.5,0.449,0.010,0.230,P,,6585,175460,6390,168530,0.03,0.04,
